car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
uBODJ2alKMpgY6yR1Ebpxv3n,Toyota Avensis 2004 Silver,1995000,"Kwara State, Ilorin East",Toyota,Avensis,2004,Silver,Nigerian Used,341442.0,1800.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
zYmh2EwAYRfJqTatRXJaDCbB,Toyota Sienna 2004 Blue,4680000,"Abuja (FCT), Mararaba",Toyota,Sienna,2004,Blue,Nigerian Used,435439.0,3300.0,Registered,Imported,unknown,unknown,Abuja,0,0.0,0.0,unknown,Petrol,Automatic
uS2z7vb24PlewnEEQ2sLTDEt,Toyota Corolla 2005 Purple,2205000,"Lagos State, Ifako-Ijaiye",Toyota,Corolla,2005,Purple,Nigerian Used,383199.0,1600.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
5pLnb1gFKNFIBULr8lf9kZ9y,Toyota Sienna 2003 Blue,1365000,"Ogun State, Ado-Odo/Ota",Toyota,Sienna,2003,Blue,Nigerian Used,324027.0,3000.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
dTWJKy7Vu5GVPqi3awHcFcNc,Ford Focus 2010 Black,1260000,"Oyo State, Ibadan",Ford,Focus,2010,Black,Nigerian Used,128613.0,1600.0,Registered,Registered,unknown,unknown,Oyo state,0,0.0,0.0,unknown,Petrol,Automatic
3iscNxyPHjmxY2E4GwWr2lcR,Toyota Sienna 2007 Gray,3536000,"Kwara State, Ilorin East",Toyota,Sienna,2007,Gray,Nigerian Used,393372.0,0.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
yBW2C2M5kbDTI7JcbEnoqHb3,Kia Cerato 2013 Silver,3016000,"Lagos State, Magodo",Kia,Cerato,2013,Silver,Nigerian Used,174479.0,2000.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
oJJHQcl4r6DBaGxOEbatUNZt,Toyota Corolla 2009 Gray,2688400,"Lagos State, Ikotun/Igando",Toyota,Corolla,2009,Gray,Nigerian Used,326950.0,1800.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Manual
kAor47dLCVnNkbBXuYH5LYY7,Toyota Corolla 2009 Blue,3255000,"Abuja (FCT), Kubwa",Toyota,Corolla,2009,Blue,Nigerian Used,173680.0,1800.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
pCXIVBTKi2fTCLRRz8BkgTFD,Toyota Highlander 2006 Green,4160000,"Oyo State, Ibadan",Toyota,Highlander,2006,Green,Nigerian Used,235530.0,3000.0,Registered,Imported,unknown,unknown,lagos,0,0.0,0.0,SUV,Petrol,Automatic
